Subject_ID,Session_ID,Round_ID,Condition,Agent_Utility,Human_Utility,Raw_Arousal,Raw_Valence,Max_Arousal,Min_Arousal,Max_Valence,Min_Valence,Bidder,Agent_Move,User_Move,Scaled_Time,Norm_Arousal,Norm_Valence
50,1,3,FC,0.5,1.0,-0.0903849750757217,0.1492617577314376,0.272096186876297,-0.5558469891548157,0.7684736847877502,-0.6208589673042297,Human,,fortunate,0.09960777777777778,-0.0903849750757217,0.1492617577314376
50,1,4,FC,0.9,0.575,-0.0903849750757217,0.1492617577314376,0.272096186876297,-0.5558469891548157,0.7684736847877502,-0.6208589673042297,Agent,fortunate,,0.10744,-0.0903849750757217,0.1492617577314376
50,1,5,FC,0.625,0.75,-0.0272133070975542,0.0208608917891979,0.272096186876297,-0.5558469891548157,0.7684736847877502,-0.6208589673042297,Human,,concession,0.1263477777777778,-0.0272133070975542,0.0208608917891979
50,1,6,FC,0.8,0.8,-0.0272133070975542,0.0208608917891979,0.272096186876297,-0.5558469891548157,0.7684736847877502,-0.6208589673042297,Agent,concession,,0.1430277777777778,-0.0272133070975542,0.0208608917891979
50,1,7,FC,0.55,0.9,0.1258836835622787,-0.3872895538806915,0.3162513375282287,-0.5558469891548157,0.7684736847877502,-0.6208589673042297,Human,,selfish,0.17754,0.1258836835622787,-0.3872895538806915
50,1,8,FC,0.7,0.85,0.1258836835622787,-0.3872895538806915,0.3162513375282287,-0.5558469891548157,0.7684736847877502,-0.6208589673042297,Agent,concession,,0.1886466666666667,0.1258836835622787,-0.3872895538806915
50,2,1,CL,0.4,0.85,0.0,0.0,0.0,0.0,0.0,0.0,Human,,,0.05146444444444444,0.0,0.0
50,2,2,CL,0.875,0.375,0.0,0.0,0.0,0.0,0.0,0.0,Agent,,,0.05923888888888889,0.0,0.0
50,2,3,CL,0.575,0.725,0.0125240571796894,0.0009910683147609,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Human,,concession,0.10157,0.1146542531219918,0.101957967045285
50,2,4,CL,0.825,0.65,0.0125240571796894,0.0009910683147609,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Agent,concession,,0.1104666666666667,0.1146542531219918,0.101957967045285
50,2,5,CL,0.425,0.9,-0.102650873363018,-0.1077873483300209,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Human,,selfish,0.1304766666666667,-0.0121380193895891,-0.0177925948314527
50,2,6,CL,0.8,0.675,-0.102650873363018,-0.1077873483300209,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Agent,concession,,0.1427188888888889,-0.0121380193895891,-0.0177925948314527
50,2,7,CL,0.425,0.9,-0.0842335596680641,-0.0922259613871574,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Human,,silent,0.1883833333333333,0.0081369922465235,-0.0006615785189568
50,2,8,CL,0.8,0.675,-0.0842335596680641,-0.0922259613871574,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Agent,silent,,0.2017088888888889,0.0081369922465235,-0.0006615785189568
50,2,9,CL,0.475,0.65,-0.1927379518747329,-0.2167178094387054,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Human,,concession,0.2295711111111111,-0.1113119051875415,-0.1377105374308027
50,2,10,CL,0.75,0.75,-0.1927379518747329,-0.2167178094387054,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Agent,concession,,0.2462677777777778,-0.1113119051875415,-0.1377105374308027
50,2,11,CL,0.35,0.825,-0.3679805099964142,-0.3471823036670685,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Human,,selfish,0.2697033333333334,-0.3042306426271245,-0.2813345850194781
50,2,12,CL,0.7,0.725,-0.3679805099964142,-0.3471823036670685,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Agent,unfortunate,,0.28864,-0.3042306426271245,-0.2813345850194781
50,2,13,CL,0.425,0.9,-0.0815180987119674,-0.0359243601560592,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Human,,fortunate,0.3231433333333333,0.011126353420154,0.0613189925349559
50,2,14,CL,0.8,0.8,-0.0815180987119674,-0.0359243601560592,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Agent,fortunate,,0.3309566666666667,0.011126353420154,0.0613189925349559
50,2,15,CL,0.325,0.825,-0.1383587568998336,-0.1349552124738693,0.8167500000000001,-1.0,0.8167500000000001,-1.0,Human,,unfortunate,0.3610188888888889,-0.0514476476123118,-0.0477007980997599
