Subject_ID,Session_ID,Condition,Agent_Utility,Human_Utility,Agreement_Rounds,Raw_Arousal,Raw_Valence,Max_Arousal,Min_Arousal,Max_Valence,Min_Valence,Norm_Arousal,Norm_Valence,Concession_Rate,Nice_Rate,Fortunate_Rate,Unfortunate_Rate,Selfish_Rate,Silent_Rate
7,1,CL,0.7,0.85,14,0.025331414684101387,0.02340112488578867,0.6125577070094921,-0.8130901919470893,0.6125577070094921,-0.8130901919470893,0.25743654176538394,0.11857515997276448,0.23076923076923078,0.0,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.0
7,2,FC,0.65,0.85,17,-0.004369485079113281,0.10676809676894636,0.7695873451955391,-0.9393939393939394,0.7695873451955391,-0.9393939393939394,-0.00462171983192947,0.10477662628845254,0.1875,0.0,0.25,0.3125,0.1875,0.0625
8,1,CL,0.75,0.75,6,0.09651686996221542,0.08117060487469037,0.6670125000000001,-0.8333333333333334,0.6670125000000001,-0.8333333333333334,0.19994328555708588,0.18285580435302007,0.0,0.2,0.2,0.4,0.2,0.0
8,2,FC,0.65,0.85,12,-0.018056207734237734,0.24500975323220095,0.7486875000000001,-0.9166666666666666,0.7486875000000001,-0.9166666666666666,-0.018056207734237707,0.24500975323220095,0.2727272727272727,0.0,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.0
9,1,CL,0.7,0.85,7,-0.09374339559248515,-0.09053679146537823,0.2770293525287083,-0.6870632290115405,0.2770293525287083,-0.6870632290115405,-0.007943214866291324,0.21636111435531352,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666
9,2,FC,0.7,0.85,9,0.04589593370393333,-0.12523193491829765,0.2876237697071499,-0.8888888888888888,0.2876237697071499,-0.8888888888888888,0.045895933703933314,-0.12523193491829762,0.25,0.0,0.0,0.125,0.25,0.375
10,1,FC,0.8,0.8,3,0.07509228338797885,-0.06338478873173396,0.24481376012166342,-0.31206461787223816,0.24481376012166342,-0.31206461787223816,0.07509228338797885,-0.06338478873173393,0.0,0.5,0.0,0.0,0.5,0.0
10,2,CL,0.775,0.75,10,0.011197463265853,0.014041101234033704,0.635499100845675,-0.9,0.635499100845675,-0.9,0.16815786018710205,0.17149133549809795,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0
11,1,CL,0.8,0.8,7,0.14379146242780344,0.14748880905764444,0.6933091716985194,-0.32757657739513885,0.6933091716985194,-0.32757657739513885,0.15864524983637338,-0.051831638066352076,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5,0.0
11,2,FC,0.65,0.825,9,-0.09450669214129448,0.06698366958234045,0.7260000000000002,-0.8888888888888888,0.7260000000000002,-0.8888888888888888,-0.09450669214129445,0.06698366958234045,0.125,0.125,0.125,0.25,0.25,0.125
12,1,FC,0.8,0.8,10,0.11445152945816517,-0.1796327143907547,0.6137493431568146,-0.45250540375709536,0.6137493431568146,-0.45250540375709536,0.11445152945816514,-0.1796327143907547,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0
12,2,CL,0.7,0.85,8,0.11898745357757434,0.12050400127191097,0.6809546786546707,-0.4667069058418274,0.6809546786546707,-0.4667069058418274,0.12428373601977805,0.016287355694117045,0.0,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0
13,1,CL,0.7,0.85,14,-0.05043357572005199,-0.04806750460907266,0.5122132433329738,-0.8735208708773712,0.5122132433329738,-0.8735208708773712,0.43108516174761796,0.22565814640353057,0.38461538461538464,0.0,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.07692307692307693
13,2,FC,0.7,0.85,7,-0.029946698592259326,-0.12377366423606873,0.5628708837553276,-0.8461538461538461,0.5628708837553276,-0.8461538461538461,-0.025932706867355215,-0.0035233363001183817,0.5,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0
14,1,CL,0.85,0.65,4,0.03340354445390403,0.030086436308920377,0.5199294352531434,-0.5525,0.5199294352531434,-0.5525,0.003904250823289851,0.056113613053833,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
14,2,FC,0.85,0.65,9,0.11012727311915821,-0.18822501103083292,0.6603055000305176,-0.8888888888888888,0.6603055000305176,-0.8888888888888888,0.11012727311915818,-0.1882250110308329,0.125,0.0,0.25,0.25,0.375,0.0
15,1,FC,0.7,0.7,9,0.05735398500281222,-0.13996175523189938,0.41880453334135165,-0.6784662709516638,0.41880453334135165,-0.6784662709516638,0.04738469939264986,-0.14425602203441987,0.5,0.0,0.125,0.125,0.25,0.0
15,2,CL,0.825,0.6,9,-0.06295948650907068,-0.06027326524695928,0.43017097961425776,-0.8823529411764706,0.43017097961425776,-0.8823529411764706,0.07320361407865572,0.2185135416907482,0.25,0.0,0.375,0.125,0.25,0.0
16,1,CL,0.75,0.775,3,0.07425804845988751,0.07498208880424498,0.441045,-0.31558800307508894,0.441045,-0.31558800307508894,-0.007347572455236734,-0.0069615722106819615,1.0,0.0,0.0,0.0,0.0,0.0
16,2,FC,0.7,0.85,15,6.526236518703563e-05,0.1286840008507515,0.6843801724137928,-0.4897055220130692,0.6843801724137928,-0.4897055220130692,0.0011976902994016668,0.1276821947346131,0.2857142857142857,0.0,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.0
17,1,CL,0.725,0.7,3,0.004282887838780881,0.004506175220012666,0.30153783559799197,-0.12116167545318605,0.30153783559799197,-0.12116167545318605,0.26207519573893784,0.2924044664673862,0.5,0.0,0.0,0.5,0.0,0.0
17,2,FC,0.7,0.725,12,-0.01752448762240617,0.04530150297543277,0.5784116128216619,-0.4023973682652349,0.5784116128216619,-0.4023973682652349,0.01650564612355081,-0.1522728271782398,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.0
18,1,CL,0.7,0.85,5,0.023739906959235675,0.016501038102433085,0.6385500000000001,-0.41413104384857896,0.6385500000000001,-0.41413104384857896,-0.13333707623319574,-0.14431739591131187,0.0,0.25,0.25,0.5,0.0,0.0
18,2,FC,0.575,0.9,16,0.10015627689426765,-0.13485880583175458,0.7657031250000002,-0.5835631266236305,0.7657031250000002,-0.5835631266236305,0.1001562768942676,-0.13485880583175455,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.2,0.06666666666666667,0.2
19,1,FC,0.75,0.75,3,0.009464025124907492,0.011476460099220298,0.4035822987556458,-0.243495762348175,0.4035822987556458,-0.243495762348175,0.011884948549171267,-0.021470993757247935,0.5,0.0,0.0,0.5,0.0,0.0
19,2,CL,0.75,0.75,6,-0.020890110948433478,-0.021197731606662273,0.570937276395162,-0.7343043784300486,0.570937276395162,-0.7343043784300486,0.22251870025935735,0.050343024362628386,0.6,0.0,0.0,0.2,0.2,0.0
20,1,CL,0.85,0.7,4,0.03462209792009422,0.03676531463861466,0.5284589146205356,-0.5381283589771816,0.5284589146205356,-0.5381283589771816,0.09296447048754804,0.07550565097960467,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0
20,2,FC,0.775,0.75,3,-0.037699652370065444,0.0813305030266444,0.5445000000000001,-0.6666666666666666,0.5445000000000001,-0.6666666666666666,-0.03769965237006543,0.08133050302664438,1.0,0.0,0.0,0.0,0.0,0.0
21,1,FC,0.65,0.825,12,-0.011926101326632002,0.030482980034624536,0.7410417248805364,-0.48417287071545917,0.7410417248805364,-0.48417287071545917,-0.0290331579744816,-0.032800082582980394,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.36363636363636365
21,2,CL,0.675,0.8,10,0.027328713797032833,0.023392549529671663,0.7275682389736176,-0.8167500000000001,0.7275682389736176,-0.8167500000000001,0.2103337124024595,0.17526594073921872,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444
22,1,CL,0.65,0.825,14,0.08795120206627029,0.08706551403911025,0.6806249999999998,-0.4605568669460438,0.6806249999999998,-0.4605568669460438,0.2425851675099874,-0.03874137965043424,0.07692307692307693,0.0,0.38461538461538464,0.46153846153846156,0.07692307692307693,0.0
22,2,FC,0.7,0.85,12,0.03457281864636267,0.20850028501202664,0.6764038165648779,-0.5312770654757818,0.6764038165648779,-0.5312770654757818,0.03457281864636266,0.20850028501202664,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.0
23,1,FC,0.7,0.85,10,0.007290902277944903,0.01643117777022876,0.3454909418758593,-0.6613287266932035,0.3454909418758593,-0.6613287266932035,0.007506598136387749,0.016835334943607432,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,0.2222222222222222,0.0
23,2,CL,0.675,0.8,10,-0.004388039147383291,-0.0040327970330652435,0.49381749215006837,-0.6613287266932035,0.49381749215006837,-0.6613287266932035,-0.39215413691326984,0.1224008434592762,0.3333333333333333,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0
24,1,CL,0.8,0.625,6,0.10005851851945574,0.1008777179839936,0.66835356709632,-0.3210354445739226,0.66835356709632,-0.3210354445739226,0.2419304052586376,-0.12045409931376093,0.4,0.0,0.4,0.2,0.0,0.0
24,2,FC,0.725,0.7,8,-0.018725740102430184,0.10748313578466574,0.7475685777783395,-0.34664603316783904,0.7475685777783395,-0.34664603316783904,-0.011562516156118363,0.106121588149108,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0
25,1,CL,0.75,0.775,10,0.060044734925031665,0.057382693886756896,0.36336933914423,-0.7364304687485219,0.36336933914423,-0.7364304687485219,0.22396107518371028,0.39920343910701883,0.3333333333333333,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0
25,2,FC,0.75,0.75,4,0.07504394091665745,-0.04582416033372284,0.556875,-0.613692057290435,0.556875,-0.613692057290435,0.0750439409166574,-0.045824160333722774,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
26,1,CL,0.85,0.4,3,-0.015045592188835147,-0.006570437178015709,0.43283790349960327,-0.6,0.43283790349960327,-0.6,0.0997040406656817,0.09739139894700555,0.5,0.0,0.0,0.0,0.5,0.0
26,2,FC,0.95,0.475,3,-0.03838748335838318,0.11039725132286551,0.43283790349960327,-0.6,0.43283790349960327,-0.6,-0.024268828332424164,0.09680731408298013,0.0,0.0,0.5,0.0,0.5,0.0
27,1,CL,0.7,0.85,14,-0.06130261043155635,-0.06483347275880752,0.7046180742758291,-0.8995474753556428,0.7046180742758291,-0.8995474753556428,0.08857648798428067,0.03841574417928756,0.0,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.0,0.23076923076923078
27,2,FC,0.7,0.85,17,-0.05084427683190866,-0.004768194332593172,0.7159238006129409,-0.9393939393939394,0.7159238006129409,-0.9393939393939394,-0.05347281376666879,-0.006983384474551695,0.1875,0.0625,0.1875,0.375,0.1875,0.0
28,1,CL,0.775,0.75,7,0.02412845753133297,0.024693350174597332,0.5619367695764813,-0.7328728510085325,0.5619367695764813,-0.7328728510085325,0.4652430266490387,0.09651992350726234,0.5,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
28,2,FC,0.775,0.75,4,-0.0273066945374012,0.13908501155674455,0.5457931875,-0.75,0.5457931875,-0.75,-0.027306694537401147,0.13908501155674455,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0
